"facility_id","facility","location","town_or_city"
511,"SHAMROCK HILLS GOLF CLUB","10438 HOLLAND GLENWOOD RD HOLLAND 14080","COLDEN"
512,"VILLAGE OF GOWANDA WWTF","ALDRICH ST GOWANDA 14070","COLLINS"
513,"NYSDOT COLLINS SUB RESIDENCY","14299 US RTE 62 @ WHEATER RD COLLINS 14034","COLLINS"
514,"COLLINS HOUSE APARTMENTS","2293 MAIN ST COLLINS 14034","COLLINS"
515,"CRANERIDGE SEWER DIST #1","ST RTE 240 - W SIDE - 1 MI S OF GLENWOOD SPRINGVILLE 14141","CONCORD"
516,"BLUE LANTERN LOUNGE","6120 SENECA ST SPRINGBROOK 14140","ELMA"
517,"ELMA SD #1 JERGE SUBDIVISION","TREEHAVEN LN ELMA 14059","ELMA"
518,"ELMA SD #4 BRIGGSWOOD","JACKMAN LN ELMA 14059","ELMA"
519,"ELMA SD #5 - ELMA MEADOWS SUBDIVISION","ROLLING GREEN LN ELMA 14059","ELMA"
520,"ELMA VILLAGE SHOPPING CENTER","2355 BOWEN RD ELMA 14059","ELMA"
521,"ELMA WATER DIST 1 MERLE RUTHER P S","5730 SENECA ST ELMA 14059","ELMA"
522,"7270 EFFICIENCY APARTMENTS","7270 SENECA ST ELMA 14059","ELMA"
523,"ERIE CO STURGEON POINT WATER TRTMNT PLT","722 STURGEON PT RD Evans 14047","EVANS"
524,"EVANS - T HIGHWAY GARAGE","8752 DELAMATER RD ANGOLA 14006","EVANS"
525,"GARDEN APARTMENTS","7956 SOUTHWESTERN BLVD ANGOLA 14006","EVANS"
526,"Thermo Fisher Scientific","3175 STALEY RD Grand Island 14072","GRAND ISLAND"
527,"GRAND ISLAND WATER TREATMENT PLT","318 BASELINE RD GRAND ISLAND 14072","GRAND ISLAND"
528,"FORD MOTOR BUFFALO STAMPING PLANT","S 3663 LAKE SHORE RD Hamburg 14219","HAMBURG"
529,"STRZYZ PROPERTY","4538 NEWTON RD HAMBURG 14075","HAMBURG"
530,"ECSD NO 3 - HOLLAND WATER RESOURCE RECOVERY FACILITY","457 N MAIN ST (ST RTE 16) HOLLAND 14080","HOLLAND"
531,"BARTON ROAD QUARRY","91 BARTON RD LANCASTER 14086","LANCASTER"
532,"ViILLAGE OF AKRON WASTEWATER TREATMENT PLANT","33 LEWIS RD @ KIBLER AVE AKRON 14001","NEWSTEAD"
533,"COUNTY LINE STONE - AKRON QUARRY","4515 CRITTENDEN RD Newstead 14001","NEWSTEAD"
534,"DUPONT SPECIALTY PRODUCTS USA LLC","3115 RIVER RD BUFFALO 14207","TONAWANDA"
535,"ERIE CO JEROME D VANDEWATER WTP","3750 RIVER RD TONAWANDA 14203","TONAWANDA"
536,"TONAWANDA ENGINE PLANT-GENERAL MOTORS POWERTRAIN","2995 RIVER RD BUFFALO 14207","TONAWANDA"
537,"HUNTLEY FLY ASH LANDFILL","RIVER RD TONAWANDA 14150","TONAWANDA"
538,"Buffalo Terminal LLC","700 GRAND ISLAND BLVD TONAWANDA 14150","TONAWANDA"
539,"LINDE INC","175 E PARK DR TONAWANDA 14150","TONAWANDA"
540,"ERIE CO EMERY PARK","EMERY RD SOUTH WALES 14139","AURORA"
541,"CSXT NIAGARA YARD","HYDE PARK BLVD NIAGARA FALLS 14302","NIAGARA FALLS"
542,"LINDE INC - NIAGARA FALLS","4501 ROYAL AVE NIAGARA FALLS 14303","NIAGARA FALLS"
543,"BATTENFELD GREASE & OIL CORP","1174 ERIE AVE NORTH TONAWANDA 14120","NORTH TONAWANDA"
544,"NORTH TONAWANDA STP","830 RIVER RD NORTH TONAWANDA 14120","NORTH TONAWANDA"
545,"FRANKLIN TRAFFIC SERVICES","5251 SHAWNEE ROAD RANSOMVILLE 14131","CAMBRIA"
546,"LEWISTON STP","130 N WATER ST LEWISTON 14092","LEWISTON"
547,"MODERN LANDFILL INC","PLETCHER RD MODEL CITY 14107","LEWISTON"
548,"LAKEVIEW MOTEL","2000 LAKE RD YOUNGSTOWN 14174","PORTER"
549,"HERITAGE MANOR OF RANSOMVILLE","3509 RANSOMVILLE RD RANSOMVILLE 14131","PORTER"
550,"WJFR LLC","3745 RANSOMVILLE RD WILSON 14172","PORTER"
551,"GASPORT SD 1 STP","4244 BOLTON RD GASPORT 14067","ROYALTON"
552,"SOMERSET-BARKER SD STP","8500 LOWER LAKE RD BARKER 14012","SOMERSET"
553,"TEXTRON INC - WHEATFIELD","2221 NIAGARA FALLS BLVD WHEATFIELD 14304","WHEATFIELD"
554,"HIGHLAND GLENS SEWAGE DISPOSAL CORP","COUNTY LINE ROAD BENNINGTON","BENNINGTON"
555,"HILLTOP ACRES MHP","7273 MORROW RD WYOMING 14591","COVINGTON"
556,"MORTON SALT INC","45 RIBAUD AVE E SILVER SPRINGS 14550","GAINESVILLE"
557,"VILLAGE OF PERRY WWTP","7572 WATER STREET RD PERRY 14530","PERRY"
558,"NYS DOT RES ENGR HDQTRS","3879 ST RTE 19 SOUTH WARSAW 14569","WARSAW"
559,"WARSAW WATER TRT PLANT","4276 RT 19  Gainesville 14066","GAINESVILLE"
560,"GORE MTN SKI CENTER","PEACEFUL VALLEY RD NORTH CREEK 12853","JOHNSBURG"
561,"MARINE VILLAGE COTTAGES","82 DICKSON PT RD BEEKMANTOWN 12901","BEEKMANTOWN"
562,"KAMM PROPERTY","40 RIVERVIEW RD CLIFTON PARK 12065","CLIFTON PARK"
563,"HILL SPARROW WWTP","117 SPARROW RIDGE RD CARMEL 10512","KENT"
564,"MAHOPAC VILLAGE CENTER","155 US RTE 6 CARMEL","CARMEL"
565,"GREENFIELD RESORT","RTE 52 GREENFELD PARK 12435","WAWARSING"
566,"RAMAPO VALLEY WELL FIELD DISCHARGE","65 ST RTE 59 HILLBURN 10931","RAMAPO"
567,"AUSABLE FORKS COMMUNITY WWTF","215 GROVE RD AUSABLE FORKS 12912","JAY"
568,"FLORIDA-V STP","MEADOW RD - N OF QUAKER CREEK FLORIDA 10921","WARWICK"
569,"DAVOS IN THE WOODS","DAVOS RD WOODRIDGE 12789","FALLSBURGH"
570,"CERTAINTEED GYPSUM BUCHANAN LLC","350 BROADWAY BUCHANAN 10511","CORTLANDT"
571,"CAMP RE / LAKE CHARLES DAM","111 BALLYHACK RD Patterson","PATTERSON"
572,"BEAVER LAKE ESTATES","189 SOUTH WOODS DR MONTICELLO","THOMPSON"
573,"ROSEWILL APARTMENTS","4 MICHELLE DR GARDINER 12525","GARDINER"
574,"WATCHTOWER EDUCATIONAL CENTER","100 WATCHTOWER DR|ST RTE 22 PATTERSON 12563","PATTERSON"
575,"ELMIRA HIGH SCHOOL","777 S MAIN ST ELMIRA 14905","ELMIRA"
576,"WESTOVER ESTATES MOBILE HOME PARK","2782 S BROADWAY WELLSBURG 14894","ASHLAND"
577,"CHEMUNG CO POOL BATH HOUSE","HARRIS HILL RD BIG FLATS 14901","BIG FLATS"
578,"CORNING INNOVATION SUPPORT CENTER","673 CO RTE 64 Big Flats 14814","BIG FLATS"
579,"SUNOCO BIG FLATS TERMINAL","ST RTE 352 - N SIDE - E OF CO LINE BIG FLATS 14814","BIG FLATS"
580,"YORKSHIRE APTS","363 CO RD 64 BIG FLATS 14814","BIG FLATS"
581,"CHEMUNG CO SEWER DISTRICT #1 STP","1700 LAKE ST ELMIRA 14901","ELMIRA"
582,"CHEMUNG CO PARK STATION RECREATION AREA","PARK STATION RD ERIN","ERIN"
583,"HARDINGE INC","1 HARDINGE DR Horseheads 14902","HORSEHEADS"
584,"PINNACLE MANUFACTURING CO","56 HARVESTER AVE Batavia(c) 14020","BATAVIA"
585,"ALEXANDER - V STP","SE OF US RTE 20 & ST RTE 98 Alexander 14005","ALEXANDER"
586,"VILLAGE OF BERGEN SEWAGE TREATMENT PLANT","6593 N LAKE RD BERGEN 14416","BERGEN"
587,"BYRON SD STP","ST RTE 237 - W SIDE - OPPOSITE MILL POND RD Byron 14422","BYRON"
588,"FREEDOM FELLOWSHIP","282 BROADWAY RD (US RTE 20) DARIEN CENTER 14040","DARIEN"
589,"ELBA - V STP","MECHANIC ST ELBA 14058","ELBA"
590,"LEROY STONE QUARRY","GULF RD - S SIDE|3/4 Mile W Of Church Rd Le Roy 14482","LE ROY"
591,"LEROY - V WWTP","7500 RED MILL RD LEROY 14482","LE ROY"
592,"NYS ONTARIO SERVICE AREA","MILEPOST 376W - NYS THRUWAY LEROY 14482","LE ROY"
593,"NORTERA FOODS USA INC - OAKFIELD FACILITY","40 STEVENS ST OAKFIELD 14125","OAKFIELD"
594,"OAKFIELD - V STP","19 IRVING PKWY OAKFIELD 14125","OAKFIELD"
595,"PEMBROKE TRAVEL CENTER","8420 ALLEGHANY RD (ST RTE 77) CORFU 14036","PEMBROKE"
596,"CORFU - V STP","FIELDCREST DR Pembroke 14036","PEMBROKE"
597,"NYS PEMBROKE SERVICE AREA","I-90 THRUWAY MP 397 EB CORFU 14036","PEMBROKE"
598,"EAST PEMBROKE PRIMARY SCHOOL","2486 MAIN RD EAST PEMBROKE 14036","PEMBROKE"
599,"EDGEWOOD APARTMENTS","6309 CLINTON STREET RD STAFFORD 14143","STAFFORD"
600,"TWIN CEDARS OF AVON, LLC","6150 E AVON LIMA RD AVON 14414","AVON"
601,"CALEDONIA FISH HATCHERY","16 NORTH ST Caledonia 14423","CALEDONIA"
602,"GENESEO - V WWTP","275 RIVERSIDE DR GENESEO 14454","GENESEO"
603,"GROVELAND CORRECTIONAL FACILITY","7000 SONYEA RD SONYEA 14556","GROVELAND"
604,"SENECA FOODS- LEICESTER PLANT","5705 ST RTE 36 LEICESTER 14481","LEICESTER"
605,"HONEOYE FALLS QUARRY & ASPHALT PLANT","HONEOYE FALLS RD #6 & DALTON RD LIMA 14472","LIMA:MENDON"
606,"NUNDA - V STP","SEWER PLANT RD - OFF WALNUT ST Nunda 14517","NUNDA"
607,"ABBEY OF THE GENESEE","3528 RIVER RD PIFFARD 14533","YORK"
608,"TOWN OF YORK WWTF","3479 RETSOF RD|AKA CALEDONIA RD @ BIDWELLS CREEK RETSOF 14592","YORK"
609,"BUCKEYE ROCHESTER NORTH TERMINAL","754 BROOKS AVE ROCHESTER 14619","ROCHESTER"
610,"ROCHESTER TERMINAL","1840 LYELL AVE ROCHESTER 14606","ROCHESTER"
611,"BUCKEYE ROCHESTER SOUTH TERMINAL","675 BROOKS AVE ROCHESTER 14619","ROCHESTER"
612,"UNITED REFINING COMPANY CHILI AVE TERMINAL","1075 CHILI AVE ROCHESTER 14611","ROCHESTER"
613,"UNIVERSITY OF ROCHESTER - CENTRAL UTILITIES","390 ELMWOOD AVE ROCHESTER 14323","BRIGHTON:ROCHESTER"
614,"B & T PLOWING AND TREE SERVICE ZEKE ENTERPRISES","190 JEFFERSON RD BRIGHTON 14623","BRIGHTON"
615,"DEERFIELD COUNTRY CLUB","2879 CLARKSON PARMA RD/ 100 CRAIG HILL RD BROCKPORT 14420","CLARKSON"
616,"ROCHESTER WEST TERMINAL","1975 LYELL AVE ROCHESTER 14606","GATES"
617,"R G & E RUSSELL STATION","1101 BEACH AVE GREECE 14612","GREECE"
618,"LOCUST GROVE MOBILE HOME PARK","4500 ROOSEVELT HWY HAMLIN 14464","HAMLIN"
619,"NYS HAMLIN BEACH STATE PARK","PARK SERVICE RD HAMLIN 14464","HAMLIN"
620,"MANITOU CONST CO - JEFFERSON RD FACILITY","1260 JEFFERSON RD HENRIETTA 14623","HENRIETTA"
621,"HONEOYE FALLS - V STP","100 ULRICH LN HONEOYE FALLS 14472","MENDON"
622,"MENDON OFFICE & SHOP","3909 RUSH - MENDON RD MENDON 14510","MENDON"
623,"BURKE CREST APARTMENTS","6 BURKE LN Parma 14559","PARMA"
624,"HESS MOBILE HOME PARK","1742 PARMA CORNERS - HILTON RD SPENCERPORT 14559","PARMA"
625,"OAK HILL COUNTRY CLUB","145 KILBOURNE RD Pittsford 14534","PITTSFORD"
626,"TOWN & COUNTRY MOBILE HOME PARK","5839 CHILI RIGA CENTER RD (RTE 33A) CHURCHVILLE 14428","RIGA"
627,"NYS DOT RES ENGR SUBHQ RUSH","1235 RUSH-SCOTTSVILLE RD RUSH 14474","RUSH"
628,"PAPAPIETRO/RICHMOND PROPERTY","26 PARK LN RUSH 14564","RUSH"
629,"TUETY PROPERTY","533 FISHELL RD RUSH 14543","RUSH"
630,"WILD WOOD COUNTRY CLUB","1201 W RUSH RD RUSH 14543","RUSH"
631,"HOMETOWNE ENERGY CO","500 HOLLEY ST BROCKPORT 14420","SWEDEN"
632,"JMT FACILITY","200 STATE ST BROCKPORT 14420","SWEDEN"
633,"NYS DOT RES ENGR HDQTRS  WEBSTER","840 SALT RD [ST RTE 104 & SALT RD] WEBSTER 14580","WEBSTER"
634,"WEBSTER V - WWTP","613 Webster Rd Webster 14580","WEBSTER"
635,"WEBSTER WATER POLLUTION CONTROL FACILITY (WPCF)","226 PHILIPS RD WEBSTER 14850","WEBSTER"
636,"XEROX CORPORATION - WILSON CENTER","800 PHILLIPS RD WEBSTER 14580","WEBSTER"
637,"CHILI COUNTRY CLUB","760 CHILI SCOTTSVILLE RD SCOTTSVILLE 14546","CHILI"
638,"CANANDAIGUA - C WRRF","183 SALTONSTALL ST Canandaigua(c) 14424","CANANDAIGUA"
639,"U S VETERANS ADMINISTRATION MEDICAL CENTER","400 FORT HILL AVE CANANDAIGUA 14424","CANANDAIGUA"
640,"COUNTRY COLONY ESTATES","5430 CURTIS RD CANADICE","CANADICE"
641,"BLOOMDALE MHC","9212 RTE 5 & RTE 20 West Bloomfield 14469","WEST BLOOMFIELD"
642,"CROSMAN CORPORATION","7629 RTE 5 & 20 BLOOMFIELD 14469","EAST BLOOMFIELD"
643,"SENECA FOODS CORP","100 GAMBEE RD GENEVA 14456","GENEVA"
644,"GORHAM - T STP","BETWEEN KEARNEY RD & FLINT CREEK GORHAM 14461","GORHAM"
645,"CLIFTON SPRINGS - V WWTP","50 & 52  LADUE AVE CLIFTON SPRINGS 14432","PHELPS"
646,"MANCHESTER SHORTSVILLE STP","3980 ST RTE 96 AT CANANDAIGUA OUTLET SHORTSVILLE 14548","MANCHESTER"
647,"NYS CLIFTON SPRINGS SERVICE AREA","MP 337 W - I-90 - NYS THRUWAY CLIFTON SPRINGS","MANCHESTER"
648,"WILLOW CREEK ESTATES MOBILE HOME PARK","273-285 ST RTE 21 MANCHESTER 14504","MANCHESTER"
649,"HAZLITT'S RED CAT CELLARS","1 LAKE NIAGARA LN Naples 14512","NAPLES"
650,"COUNTRYSIDE MOBILE HOME PARK","1196 CO RTE 23 PHELPS 14532","PHELPS"
651,"HEIDELBERG MATERIALS - GENEVA PLANT","PRE-EMPTION RD PHELPS","PHELPS"
652,"PHELPS - V STP","60 MILL ST Phelps 14532","PHELPS"
653,"HONEOYE LAKE COUNTY CONSOLIDATED SEWER DISTRICT","US RTE 20A HONEOYE 14471","RICHMOND"
654,"PICTURE BOOK PARK STP","9301 RTES 5 & 20 WEST BLOOMFIELD 14585","WEST BLOOMFIELD"
655,"WILSON QUARRY","14120 W LEE RD ALBION 14411","BARRE"
656,"FIREHOUSE APARTMENTS","1961 MAIN ST WATERPORT 14571","CARLTON"
657,"BEEBE PROPERTY","4667 S HOLLEY RD HOLLEY 14470","CLARENDON"
658,"THOMAS ESTATES WEST MANUFACTURED HOME COMMUNITY","17144 FOURTH SECTION RD CLARENDON 14429","CLARENDON"
659,"HOLLEY - V STP","FRISBEE TERR HOLLEY 14470","MURRAY"
660,"MEDINA WASTEWATER TREATMENT PLANT","200 GULF ST |WESTWARD TO N GRAVEL RD MEDINA 14103","RIDGEWAY"
661,"SHELBY CRUSHED STONE INC","10830 BLAIR RD MEDINA 14103","SHELBY"
662,"LYNDONVILLE - V WATER TREATMENT PLT","ST RTE 63 - N END - E SIDE SHADIGEE 14098","YATES"
663,"MIZKAN AMERICA INC - LYNDONVILLE PLANT","247 WEST AVE LYNDONVILLE 14098","YATES"
664,"WILLOW POINT COTTAGES","WILLOW POINT RD OFF OF ST RTE 414 BURDETT 14891","HECTOR"
665,"WATKINS GLEN STATE PARK","3530 ST RTE 419 WATKINS GLEN 14891","DIX"
666,"INTERLAKEN - V STP","CAYUGA ST INTERLAKEN 14847","COVERT"
667,"BUCKEYE TERMINALS LLC - GENEVA TERMINAL","459 WEST RIVER RD GENEVA 14456","FAYETTE"
668,"TOWN OF SENECA FALLS WATER WITHDRAWAL SYSTEM","PARKER RD WTP IN FAYETTE, SERVICE AREA IN SENECA FALLS & PORTIONS OF WATERLOO AND FAYETTE MULTI-TOWN","FAYETTE:SENECA FALLS"
669,"NYS LODI POINT STATE PARK","8450 LOWER LAKE RD LODI 14860","LODI"
670,"SENECA COUNTY SEWER DISTRICT #1 STP","CO RTE 132 WILLARD 14588","OVID"
671,"ITT GOULDS PUMPS","240 FALL ST Seneca Falls 13148","SENECA FALLS"
672,"LONG MEADOW MOBILE HOME COURT","1456 RTE 336 WATERLOO 13165","VARICK"
673,"CORNING INC CORPORATE HEADQUARTERS","WALNUT ST CORNING 14830","CORNING"
674,"CORNING INC- HOUGHTON PARK FACILITY","MUSEUM WAY CORNING 14831","CORNING"
675,"INSTANT BRANDS LLC","1 STEUBEN ST CORNING 14830","CORNING"
676,"CORNING INC- W C DECKER BLDG","HOUGHTON PARK CORNING 14830","CORNING"
677,"HORNELL - C WATER POLLUTION CONTROL PLANT","69 PARK DR HORNELL 14843","HORNELL"
678,"AVOCA CENTRAL SCHOOL","17-29 OLIVER ST AT EAST AVE AVOCA 14809","AVOCA"
679,"BATH SAND & GRAVEL","SAND PIT RD BATH 14810","BATH"
680,"BATH WASTEWATER TREATMENT PLANT","144 E MORRIS ST BATH 14810","BATH"
681,"SAVONA LPG FACILITY","7535 EAGLE VALLEY RD SAVONA 14879","BATH"
682,"BATH FISH HATCHERY","7169 FISH HATCHERY RD BATH 14810","URBANA"
683,"V - CANISTEO WWTP","2240 DUNNING RD CANISTEO 14823","CANISTEO"
684,"CORNING COMMUNITY COLLEGE STP","SPENCER HILL RD CORNING 14830","CORNING"
685,"SOUTH CORNING - V WWTP","OFF RIVER RD SOUTH CORNING 14830","CORNING"
686,"CAREFIRST NY INC","3805 MEADS CREEK RD PAINTED POST 14870","CAMPBELL"
687,"ERWIN MANUFACTURING COMPLEX","792 ADDISON RD - S HAMILTON RD Erwin 14870","ERWIN"
688,"CORNING INC SULLIVAN PARK","1 SCIENCE CENTER DR|END OF CO RTE 107 PAINTED POST 14870","ERWIN"
689,"MAS-Lindley","9183 PRESHO SCHOOL RD PAINTED POST 14870","LINDLEY"
690,"SIEMENS ENERGY","100 EAST CHEMUNG ST PAINTED POST 14870","ERWIN"
691,"NYSP PAINTED POST POLICE STATION","3859 MEADS CREEK RD PAINTED POST 14870","CAMPBELL"
692,"VILLAGE OF PAINTED POST SEWAGE TREATMENT","138 KANE ST PAINTED POST 14870","ERWIN"
693,"HAMMONDSPORT MAIN STREET SCHOOL","8272 MAIN ST EXT HAMMONDSPORT 14840","URBANA"
694,"MERCURY AIRCRAFT","17 WHEELER AVE HAMMONDSPORT 14840","URBANA"
695,"PLEASANT VALLEY WINERY","8260 PLEASANT VALLEY RD| CO RTE 88 HAMMONDSPORT 14840","URBANA"
696,"WAYLAND - V STP","300 S MAIN ST|MILLEN ST EXT WAYLAND 14572","WAYLAND"
697,"NEWARK WASTEWATER TREATMENT FACILITY","321 MURRAY ST NEWARK 14513","ARCADIA"
698,"LYONS - T WWTP","50 Clyde Rd Lyons 14489","LYONS"
699,"MIDLAND ASPHALT MATERIALS INC","300 COLE RD LYONS 14489","LYONS"
700,"MACEDON - V STP","135 MAIN ST|St Rte 31 - S Side - Opposite Quaker Rd Macedon 14502","MACEDON"
701,"ABX INNOVATIVE PACKAGING SOLUTIONS LLC","200 E MAIN ST MACEDON 14502","MACEDON"
702,"SUNNY BROOK FARM MHP","808 YELLOW MILLS RD MACEDON 14502","MACEDON"
703,"MARION - T STP","4243 SMITH RD Marion 14505","MARION"
704,"TOWN OF ONTARIO WASTEWATER TREATMENT FACILITY","2200 LAKE RD ONTARIO 14519","ONTARIO"
705,"ONTARIO - T WATER TREATMENT PLANT","1961 LAKE RD ONTARIO 14519","ONTARIO"
706,"GARLOCK SEALING TECHNOLOGIES","1666 DIVISION ST Palmyra 14522","PALMYRA"
707,"NORTH ROSE ELEMENTARY SCHOOL","10456 SALTER-COLVIN RD NORTH ROSE 14516","ROSE"
708,"HEIDELBERG MATERIALS - SODUS PIT","7211 QUARRY RD SODUS 14551","SODUS"
709,"SODUS - V WWTP","6792 MUD LN SODUS 14551","SODUS"
710,"MOTTS LLP","4363 ST RTE 104 WILLIAMSON 14589","WILLIAMSON"
711,"K M DAVIES COLD STORAGE","6509 LAKE AVE WILLIAMSON 14589","WILLIAMSON"
712,"BALDWIN RICHARDSON FOODS COMPANY","4949 ST RTE 104 WILLIAMSON","WILLIAMSON"
713,"WILLIAMSON - T STP","7614 MAKEN RD WILLIAMSON 14589","WILLIAMSON"
714,"WILLIAMSON - T WATER TREAT PLT","7901 HAMILTON ST EXT WILLIAMSON 14589","WILLIAMSON"
715,"V-RUSHVILLE WWTF","6 WAREHOUSE ST RUSHVILLE 14544","GORHAM"
716,"DUNDEE WASTEWATER TREATMENT PLANT","929 DUNDEE-GLENORA RD DUNDEE 14837","STARKEY"
717,"GREENIDGE STATION","590 PLANT RD DRESDEN 14441","TORREY"
718,"LOCKWOOD ASH DISPOSAL LANDFILL","Swarthout Rd Torrey 14527","TORREY"
719,"VIBRANTZ CORPORATION - PENN YAN FACILITY","1789 TRANSELCO DR @ PERRY PT RD PENN YAN 14527","TORREY"
720,"WINDSOR ESTATES WWTP","35 BRISTOL DR MIDDLETOWN 10941","HAMPTONBURGH"
721,"HAMLET SEWAGE TREATMENT","41 CONTRACTORS RD TUXEDO PARK 10987","TUXEDO"
722,"TWENTY FIRST CENTURY PARK","1315 ST RTE 146 CLIFTON PARK 12065","CLIFTON PARK"
723,"QUEENSBORO WATER TREATMENT PLANT","55 QUEENSBORO RD|PALISADES PKWY EXIT 19 BEAR MOUNTAIN 12701","HIGHLANDS"
724,"BREAKNECK POND CAMPGROUND","CAMP WINAKI RD HAVERSTRAW","HAVERSTRAW"
725,"TWIN LAKES WTP","LONG MOUNTAIN PKWY AT SUMMIT LAKE|US RTE 6 - S SIDE WOODBURY","WOODBURY"
726,"PARKWOOD SEWER DISTRICT","VIA YEZZI & FOWLER PL BINGHAMTON 13903","BINGHAMTON"
727,"CHENANGO HEIGHTS DISPOSAL WWTP","1249 RIVER RD CHENANGO BRIDGE 13901","CHENANGO"
728,"BELDEN HILL GOLF CLUB","1820 ST RTE 7 HARPURSVILLE 13787","COLESVILLE"
729,"BROOME CO NATHANIEL COLE PARK","1674 COLESVILLE RD Harpursville 13787","COLESVILLE"
730,"COUNTRY MANOR RESIDENTIAL DEVELOPMENT","1751 St Rte 7 Port Crane 13833","COLESVILLE"
731,"BLUE RIDGE MOBILE HOME PARK","225/227 ST RTE 7|MONTROSE DR @ ST RTE 7 CONKLIN 13748","CONKLIN"
732,"PORTER HOLLOW RD SD","186 PORTER HOLLOW RD FENTON 13833","FENTON"
733,"FENTON MOBILE ESTATES","ST RTE 369 - E SIDE - 400 FT S OF GANOUNGTON RD PORT CRANE 13833","FENTON"
734,"BINGHAMTON TRAVEL CENTER","UPPER COURT ST BINGHAMTON 13904","KIRKWOOD"
735,"MANN'S MOBILE COMMUNITY","3078 ST RTE 26|W SIDE - S OF ST RTE 38B ENDICOTT 13760","MAINE"
736,"FIRE FOX COURT","350 RABBIT PATH RD GLEN AUBREY 13777","NANTICOKE"
737,"VILLAGE OF DEPOSIT WPCP","MILL ST Sanford 13754","SANFORD"
738,"NYS OQUAGA CREEK STATE PARK","N SANFORD RD - CO RTE 20 SANFORD 13754","SANFORD"
739,"SANFORD - T OQUAGA LAKE STP","64 SMITH RD|OQUAGA LAKE Sanford","SANFORD"
740,"VESTAL TERMINAL","3121 SHIPPER RD VESTAL 13850","VESTAL"
741,"BINGHAMTON JOHNSON CITY STP","4480 OLD VESTAL RD VESTAL 13901","VESTAL"
742,"BUCKEYE TERMINALS LLC - BINGHAMTON TERMINAL","3301 OLD VESTAL RD VESTAL 13850","VESTAL"
743,"CITGO VESTAL TERMINAL","3212 OLD VESTAL RD VESTAL 13850","VESTAL"
744,"LAKESIDE CAMPGROUND","336 HARGRAVE RD WINDSOR 13865","WINDSOR"
745,"WEEDSPORT (V) WWTP","2601 EARL ST WEEDSPORT 13166","BRUTUS"
746,"FOXHILL TOWN HOMES","11574 ST RTE 34 Ira 13033","IRA"
747,"AURORA - V STP","MAIN ST ST RTE 90 - E SIDE - BETW CO RTE 43A & LAKE RD AURORA 13026","LEDYARD"
748,"PORT BYRON (V) WWTP","CLARK ST PORT BYRON 13140","MENTZ"
749,"HEJAMADA CAMPGROUND & RV PARK","748 MCDONALD RD Montezuma 13117","MONTEZUMA"
750,"NYS PORT BYRON SERVICE AREA","I-90 THRUWAY MP 310 EB PORT BYRON 13140","MONTEZUMA"
751,"MORAVIA - V STP","AURORA ST MORAVIA 13118","MORAVIA"
752,"OWASCO - T WTR DIST","E LAKE RD AUBURN 13021","OWASCO"
753,"BUCKEYE PIPE LINE CO LP - AUBURN","3186 GATES RD AUBURN 13021","SENNETT"
754,"UNION SPRINGS - V STP","CHAPEL ST Springport 13160","SPRINGPORT"
755,"NORWICH - C WASTEWATER TREATMENT PLANT","ST RTE 12 - 0.3 MI S OF CITY LINE NORWICH 13815","NORWICH"
756,"NYSEG AFTON ASH SITE","ST RTE 7 NE OF VILLAGE Afton 13730","AFTON"
757,"BAINBRIDGE - V STP","WALNUT AVE BAINBRIDGE 13733","BAINBRIDGE"
758,"CHOBANI, LLC","669 CO RTE 25 Columbus 13411","COLUMBUS"
759,"MIRABITO FUEL GROUP","13 CHERRY ST GREENE 13778","GREENE"
760,"GREENE - V STP","WATER ST GREENE 13778","GREENE"
761,"GREENE ACRES MOBILE HOME PARK","103 SUNSET DR GREENE 13778","GREENE"
762,"NYS BOWMAN LAKE STATE PARK","745 BLIVEN SHERMAN RD OXFORD 13830","MCDONOUGH"
763,"CHASE MEMORIAL COMMUNITY CENTER","2 TERRACE HGHTS NEW BERLIN 13411","NEW BERLIN"
764,"KERRY","158 ST RTE 320 NORWICH 13815","NORWICH"
765,"OXFORD - V STP","29 S CANAL ST |OPPOSITE S WASHINGTON AVE SPUR AT CHENANGO RIVER OXFORD 13830","OXFORD"
766,"SHERBURNE - V STP","W STATE ST SHERBURNE 13460","SHERBURNE"
767,"ALBANY INTERNATIONAL","156 S MAIN ST HOMER 13077","CORTLANDVILLE"
768,"MARATHON - V STP","FRONT ST EXT MARATHON 13803","MARATHON"
769,"SONG MOUNTAIN SKI RESORT","1 SONG MOUNTAIN RD PREBLE 13141","PREBLE"
770,"TOWN OF VIRGIL SEWER DISTRICT #1 WWTP","2000 ST RTE 392 CORTLAND 13045","VIRGIL"
771,"ONEIDA - C STP","387 HARDEN ST Oneida 13421","ONEIDA"
772,"FOX PROPERTY","4975 E LAKE RD CAZENOVIA 13035","CAZENOVIA"
773,"MORRISVILLE EATON JR SR HIGH SCH","5061 FEARON RD MORRISVILLE 13408","SMITHFIELD"
774,"SUNY AT MORRISVILLE","EATON ST MORRISVILLE 13408","EATON"
775,"VALLEY MOBILE HOME PARK","5740 ST RTE 13|3 MI S OF CHITTENANGO FENNER","FENNER"
776,"HAMILTON - V WATER POLLUTION CONTROL PLANT","81 COLLEGE ST HAMILTON 13346","HAMILTON"
777,"CANASTOTA - V WPCP","715 N MAIN ST CANASTOTA 13032","LENOX"
778,"MARCELLUS CORP","ST RTE 5 & BEE BEE BRIDGE RD CANASTOTA 13032","LENOX"
