One occupation for multiple industries,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Occupation: Data Scientists (SOC code 15-2051),,,,,,,,,,,,,,,
Period: May 2023,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Occupation (SOC code),Employment (1),Employment percent relative standard error (3),Hourly mean wage,Annual mean wage (2),Wage percent relative standard error (3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage (2),Annual 25th percentile wage (2),Annual median wage (2),Annual 75th percentile wage (2),Annual 90th percentile wage (2)
"State Government, excluding Schools and Hospitals (OEWS Designation) (99-9200)","1,960",0.0,$41.44,"$86,200",0.0,$30.45,$35.09,$41.86,$47.03,$51.63,"$63,340","$72,990","$87,070","$97,820","$107,390"
"State Government, including Schools and Hospitals (OEWS Designation) (99-9201)","4,900",0.3,$41.18,"$85,650",0.3,$25.90,$32.18,$39.64,$48.08,$57.37,"$53,880","$66,930","$82,460","$100,010","$119,340"
"Local Government, excluding Schools and Hospitals (OEWS Designation) (99-9300)","1,090",4.3,$40.57,"$84,390",1.1,$23.67,$29.39,$37.22,$48.78,$60.31,"$49,240","$61,120","$77,420","$101,460","$125,450"
"Local Government, including Schools and Hospitals (OEWS Designation) (99-9301)","2,680",4.5,$42.77,"$88,970",4.7,$24.42,$30.29,$37.64,$50.27,$63.79,"$50,800","$63,000","$78,300","$104,560","$132,680"
Footnotes:,,,,,,,,,,,,,,,
(1) Estimates for detailed occupations do not sum to the totals because the totals include occupations not shown separately. Estimates do not include self-employed workers.,,,,,,,,,,,,,,,
"(2) Annual wages have been calculated by multiplying the corresponding hourly wage by 2,080 hours.",,,,,,,,,,,,,,,
"(3) The relative standard error (RSE) is a measure of the reliability of a survey statistic. The smaller the relative standard error, the more precise the estimate.",,,,,,,,,,,,,,,
"(5) This wage is equal to or greater than $115.00 per hour or $239,200 per year.",,,,,,,,,,,,,,,
(8) Estimate not released.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SOC code: Standard Occupational Classification code -- see http://www.bls.gov/soc/home.htm,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Data extracted on March 16, 2025",,,,,,,,,,,,,,,
